00Z 03 05 2017, 0.00, 7.88
12Z 03 05 2017, 0.00, 7.32
00Z 04 05 2017, 0.00, 6.78
12Z 04 05 2017, 0.00, 7.61
00Z 05 05 2017, 0.00, 6.38
12Z 05 05 2017, 0.00, 9.61
00Z 06 05 2017, 0.00, 9.99
12Z 06 05 2017, 0.00, 10.09
00Z 07 05 2017, 45.50, 9.59
12Z 07 05 2017, 50.26, 15.11
00Z 08 05 2017, 19.99, 8.67
12Z 08 05 2017, 0.00, 10.00
00Z 09 05 2017, 0.05, 9.01
12Z 09 05 2017, 668.97, 17.79
00Z 10 05 2017, 53.15, 11.07
12Z 10 05 2017, 0.00, 13.85
00Z 11 05 2017, 0.00, 12.24
12Z 11 05 2017, 0.00, 14.99
00Z 12 05 2017, 0.00, 11.59
12Z 12 05 2017, 0.00, 11.15
00Z 13 05 2017, 0.00, 8.59
12Z 13 05 2017, 0.00, 9.76
00Z 14 05 2017, 117.50, 9.77
12Z 14 05 2017, 0.00, 6.66
00Z 15 05 2017, 0.00, 7.36
12Z 15 05 2017, 0.00, 6.55
00Z 16 05 2017, 0.00, 8.12
12Z 16 05 2017, 0.00, 7.07
00Z 17 05 2017, 0.00, 11.42
12Z 17 05 2017, 0.00, 7.71
00Z 18 05 2017, 0.00, 9.38
12Z 18 05 2017, 0.00, 12.50
00Z 19 05 2017, 0.00, 7.13
12Z 19 05 2017, 0.00, 7.32
00Z 20 05 2017, 18.42, 6.02
12Z 20 05 2017, 0.00, 6.65
00Z 21 05 2017, 0.00, 7.76
12Z 21 05 2017, 0.00, 7.73
00Z 22 05 2017, 43.23, 8.29
12Z 22 05 2017, 0.00, 10.10
00Z 23 05 2017, 0.00, 6.36
12Z 23 05 2017, 0.00, 12.59
00Z 24 05 2017, 0.00, 6.72
12Z 24 05 2017, 0.00, 8.96
00Z 25 05 2017, 0.00, 9.37
12Z 25 05 2017, 0.00, 10.77
00Z 26 05 2017, 0.00, 5.81
12Z 26 05 2017, 0.00, 5.74
00Z 27 05 2017, 102.57, 8.24
12Z 27 05 2017, 0.00, 5.62
00Z 28 05 2017, 0.00, 6.80
12Z 28 05 2017, 0.00, 9.38
00Z 29 05 2017, 82.45, 10.55
12Z 29 05 2017, 0.00, 13.66
00Z 30 05 2017, 0.00, 13.16
12Z 30 05 2017, 1.99, 14.79
00Z 31 05 2017, 45.94, 8.85
12Z 31 05 2017, 0.00, 17.93
00Z 01 06 2017, 20.89, 18.65
12Z 01 06 2017, 0.00, 19.30
00Z 02 06 2017, 1.94, 15.09
12Z 02 06 2017, 0.00, 21.18
00Z 03 06 2017, 16.74, 19.71
12Z 03 06 2017, 0.00, 20.23
00Z 04 06 2017, 155.60, 14.68
12Z 04 06 2017, 29.05, 18.91
00Z 05 06 2017, 359.35, 16.45
12Z 05 06 2017, 46.35, 17.78
00Z 06 06 2017, 79.49, 12.34
12Z 06 06 2017, 0.51, 18.41
00Z 07 06 2017, 111.11, 15.37
12Z 07 06 2017, 4.73, 20.47
00Z 08 06 2017, 0.00, 14.75
12Z 08 06 2017, 3.04, 17.66
00Z 09 06 2017, 120.78, 12.28
12Z 09 06 2017, 0.00, 11.92
00Z 10 06 2017, 0.00, 11.24
12Z 10 06 2017, 0.00, 13.23
00Z 11 06 2017, 153.76, 14.56
12Z 11 06 2017, 0.00, 5.38
00Z 12 06 2017, 0.00, 7.18
12Z 12 06 2017, 0.00, 6.04
00Z 13 06 2017, 0.00, 9.00
12Z 13 06 2017, 0.00, 5.94
00Z 14 06 2017, 0.00, 4.17
12Z 14 06 2017, 0.00, 3.57
00Z 15 06 2017, 0.00, 7.09
12Z 15 06 2017, 0.00, 3.29
00Z 16 06 2017, 0.00, 3.64
12Z 16 06 2017, 0.00, 5.67
00Z 17 06 2017, 0.00, 3.92
12Z 17 06 2017, 0.00, 5.88
00Z 18 06 2017, 0.00, 9.71
12Z 18 06 2017, 49.78, 16.75
00Z 19 06 2017, 651.99, 19.07
12Z 19 06 2017, 3.36, 16.15
00Z 20 06 2017, 457.58, 15.60
12Z 20 06 2017, 1119.51, 20.54
00Z 21 06 2017, 577.89, 18.09
12Z 21 06 2017, 68.10, 20.45
00Z 22 06 2017, 387.95, 19.43
12Z 22 06 2017, 74.88, 20.37
00Z 23 06 2017, 906.79, 17.72
12Z 23 06 2017, 0.00, 11.36
00Z 24 06 2017, 175.28, 11.30
12Z 24 06 2017, 87.46, 22.84
00Z 25 06 2017, 720.54, 23.20
12Z 25 06 2017, 146.44, 20.95
00Z 26 06 2017, 0.00, 22.00
12Z 26 06 2017, 92.85, 23.02
00Z 27 06 2017, 273.83, 17.16
12Z 27 06 2017, 3.00, 22.51
00Z 28 06 2017, 602.15, 18.87
12Z 28 06 2017, 0.00, 9.37
00Z 29 06 2017, 0.00, 7.12
12Z 29 06 2017, 0.00, 7.62
00Z 30 06 2017, 0.00, 7.41
12Z 30 06 2017, 0.00, 7.26
00Z 01 07 2017, 12.16, 11.94
12Z 01 07 2017, 95.58, 18.90
00Z 02 07 2017, 176.82, 16.63
12Z 02 07 2017, 226.63, 17.23
00Z 03 07 2017, 349.25, 16.88
12Z 03 07 2017, 31.80, 16.79
00Z 04 07 2017, 55.43, 9.81
12Z 04 07 2017, 20.69, 14.24
00Z 05 07 2017, 154.29, 11.91
12Z 05 07 2017, 190.88, 21.32
00Z 06 07 2017, 553.19, 18.15
12Z 06 07 2017, 0.00, 18.23
00Z 07 07 2017, 696.55, 14.09
12Z 07 07 2017, 84.08, 21.84
00Z 08 07 2017, 449.59, 20.43
12Z 08 07 2017, 207.95, 25.25
00Z 09 07 2017, 233.97, 26.32
12Z 09 07 2017, 24.28, 24.05
00Z 10 07 2017, 99.64, 16.80
12Z 10 07 2017, 25.92, 22.88
00Z 11 07 2017, 453.26, 21.23
12Z 11 07 2017, 0.00, 20.94
00Z 12 07 2017, 122.68, 20.03
12Z 12 07 2017, 0.76, 22.27
00Z 13 07 2017, 327.01, 19.81
12Z 13 07 2017, 59.12, 29.25
00Z 14 07 2017, 251.47, 26.51
12Z 14 07 2017, 6.37, 28.30
00Z 15 07 2017, 146.96, 24.22
12Z 15 07 2017, 0.00, 25.71
00Z 16 07 2017, 150.35, 22.05
12Z 16 07 2017, 130.67, 29.13
00Z 17 07 2017, 10.09, 22.96
12Z 17 07 2017, 526.65, 30.28
00Z 18 07 2017, 32.97, 30.49
12Z 18 07 2017, 143.33, 30.83
00Z 19 07 2017, 193.74, 23.16
12Z 19 07 2017, 347.45, 26.03
00Z 20 07 2017, 746.18, 23.08
12Z 20 07 2017, 0.00, 23.65
00Z 21 07 2017, 87.53, 25.72
12Z 21 07 2017, 49.18, 26.21
00Z 22 07 2017, 449.01, 25.50
12Z 22 07 2017, 279.58, 26.50
00Z 23 07 2017, 273.24, 21.26
12Z 23 07 2017, 0.00, 26.36
00Z 24 07 2017, 164.51, 29.89
12Z 24 07 2017, 56.68, 30.60
00Z 25 07 2017, 479.50, 28.77
12Z 25 07 2017, 197.90, 33.67
00Z 26 07 2017, 503.82, 33.05
12Z 26 07 2017, 97.50, 32.81
15Z 26 07 2017, 134.77, 28.69
00Z 27 07 2017, 860.60, 29.50
12Z 27 07 2017, 307.54, 33.34
00Z 28 07 2017, 292.71, 27.04
12Z 28 07 2017, 0.00, 34.34
00Z 29 07 2017, 56.09, 25.12
12Z 29 07 2017, 27.34, 25.74
00Z 30 07 2017, 93.57, 24.08
12Z 30 07 2017, 195.06, 28.26
00Z 31 07 2017, 379.15, 27.94
12Z 31 07 2017, 141.17, 32.01
00Z 01 08 2017, 0.00, 31.27
12Z 01 08 2017, 30.33, 29.92
00Z 02 08 2017, 86.57, 25.14
12Z 02 08 2017, 125.80, 23.35
00Z 03 08 2017, 82.76, 17.21
12Z 03 08 2017, 0.46, 21.84
00Z 04 08 2017, 55.36, 23.33
12Z 04 08 2017, 33.84, 26.69
00Z 05 08 2017, 0.00, 71.63
12Z 05 08 2017, 145.46, 29.50
00Z 06 08 2017, 338.84, 26.32
12Z 06 08 2017, 48.05, 26.90
00Z 07 08 2017, 148.20, 26.20
12Z 07 08 2017, 110.41, 25.28
00Z 08 08 2017, 94.16, 18.42
12Z 08 08 2017, 81.14, 24.07
00Z 09 08 2017, 169.41, 20.66
12Z 09 08 2017, 349.57, 18.86
00Z 10 08 2017, 376.84, 19.60
12Z 10 08 2017, 329.05, 22.95
00Z 11 08 2017, 301.23, 25.87
12Z 11 08 2017, 131.21, 30.56
00Z 12 08 2017, 28.29, 30.31
12Z 12 08 2017, 74.36, 33.52
00Z 13 08 2017, 637.05, 23.89
12Z 13 08 2017, 441.43, 27.47
00Z 14 08 2017, 492.09, 22.74
12Z 14 08 2017, 302.02, 26.05
00Z 15 08 2017, 784.82, 21.72
12Z 15 08 2017, 192.12, 21.39
00Z 16 08 2017, 95.29, 15.89
12Z 16 08 2017, 0.00, 14.28
00Z 17 08 2017, 56.30, 14.14
12Z 17 08 2017, 0.00, 16.04
00Z 18 08 2017, 80.39, 15.05
12Z 18 08 2017, 0.00, 17.40
